Link ID;approx. percentage
105849;99.7
9467;100
124886;100
115076;100
124889;99.41
124885;99.6
115082;100
124684;100
105846;99.37
71402;96.75
71403;96.75
108428;99.12
108429;98.42
15796;98.71
15795;100
85106;95.7
85103;99.1
93509;100
93512;100
93510;100
93513;93.07
85114;96.43
85981;97.38
45455;98.2
45454;97.5
149454;97.4
149434;96.22
9740;82.14
9683;100
89872;94.3
89876;98.8
98324;96.27
98320;96.31
147403;80.77
147402;80.77
27525;100
27526;100
121424;86.15
121540;100
102615;92.59
102616;99.6
121398;99.69
49942;98.36
49937;97.14
51672;92.9
51671;94.17
98704;99.3
54410;99.43
98698;96.3
98692;98.73
113265;100
40992;98.86
103872;98.89
123311;100
144198;97.6
144196;98.3
88931;99
88918;99.26
145759;97
126416;87.78
126423;88.74
153392;99.13
153397;99.23
112477;70
54678;88.88
18313;100
112476;96.67
18317;98.23
110041;95.2
8246;96.32
112367;98
112396;92.2
100259;96.6
100244;95.33
;
